,Unnamed: 0.1,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
0,0,0,Cilacap,2015,228.0,4942.14,216.7605263157895,"Meteorologi, Cilacap",83.0
1,1,1,Banyumas,2015,160.0,1620.0,101.25,,80.84362222462406
2,2,2,Purbalingga,2015,98.0,3603.56,367.7102040816327,,79.29520118005306
3,3,3,Banjarnegara,2015,140.0,1681.848,120.132,,78.25723591928748
4,4,4,Kebumen,2015,58.0,981.52,169.2275862068965,"Sempor, Kebumen",77.0
5,5,5,Purworejo,2015,204.0,2135.6,104.6862745098039,,77.71267274917254
6,6,6,Wonosobo,2015,736.0,8128.831,110.4460733695652,"Wadaslintang, Wonosobo",80.0
7,7,7,Magelang,2015,957.0,24572.68,256.767816091954,"SMPK. Borobudur, Magelang",78.0
8,8,8,Boyolali,2015,39.0,313.768,80.45333333333333,,80.33858106762753
9,9,9,Klaten,2015,31.0,355.0,114.5161290322581,,81.2063545949548
10,10,10,Sukoharjo,2015,-25.34421057282811,-1966.8792474377744,121.30349438681412,,81.81325329626107
11,11,11,Wonogiri,2015,89.0,1598.976,179.6602247191012,,82.15927717154632
12,12,12,Karanganyar,2015,868.0,28914.0,358.0185829493087,,82.24442622081057
13,13,13,Sragen,2015,606.3086732464567,21653.09299769093,258.04621524602965,,82.06870044405383
14,14,14,Grobogan,2015,55.0,511.0,92.9090909090909,,81.63209984127604
15,15,15,Blora,2015,128.0,1425.182,111.34234375,,80.93462441247726
16,16,16,Rembang,2015,166.0,2197.0,132.3493975903614,,79.9762741576575
17,17,17,Pati,2015,114.0,1403.34,123.1,"SMPK. Rendole, Pati",79.0
18,18,18,Kudus,2015,93.0,1284.0,138.0645161290323,"SMPK. Colo, Kudus",77.0
19,19,19,Jepara,2015,80.0,1316.0,164.5,,75.53597443707214
20,20,20,Demak,2015,188.0,3636.468,193.4291489361702,,73.53412487816833
21,21,21,Semarang,2015,981.0,24812.0,252.9255861365953,"Klimatologi, Semarang",72.0
22,22,22,Semarang,2015,981.0,24812.0,252.9255861365953,"SI Ungaran, Semarang",69.0
23,23,23,Temanggung,2015,227.0,4577.124,201.6354185022026,,70.67060003076791
24,24,24,Kendal,2015,235.0,6474.391,275.506,,73.50934214957638
25,25,25,Batang,2015,567.0,13849.428,244.2579894179894,"Gamer, Batang",79.0
26,26,26,Pekalongan,2015,83.0,738.12,88.93012048192772,,82.33938418313124
27,27,27,Pemalang,2015,265.0,3075.342933333333,116.0506767295598,,82.07923028956844
28,28,28,Tegal,2015,95.0,1075.0,113.1578947368421,"Meteorologi, Tegal",77.0
29,29,29,Brebes,2015,177.0,3743.0,211.4689265536723,,74.24301629827671
30,30,30,Magelang,2015,182.7988974072128,4158.979324898841,225.45506952586456,"SMPK. Borobudur, Magelang",78.0
31,31,31,Surakarta,2015,65.02374121578514,1488.5425869054848,144.42826536195489,"Adisumarmo, Surakarta",79.0
32,32,32,Salatiga,2015,3.0,33.6,112.0,"SMPK. Getas, Salatiga",80.0
33,33,33,Semarang,2015,11.0,150.936,137.2145454545455,"Klimatologi, Semarang",72.0
34,34,34,Semarang,2015,11.0,150.936,137.2145454545455,"SI Ungaran, Semarang",69.0
35,35,35,Pekalongan,2015,106.75591000331048,2820.051778054857,172.2180786475932,,73.78503826112866
36,36,36,Tegal,2015,275.0959228557631,7495.012373481981,241.85331434905845,"Meteorologi, Tegal",77.0
37,37,37,Cilacap,2018,261.0,7097.0,272.43,"Meteorologi, Cilacap",81.0
38,38,38,Banyumas,2018,82.0,2080.0,254.53,,82.11671502700403
39,39,39,Purbalingga,2018,74.0,1639.0,222.14,,83.35425275423651
40,40,40,Banjarnegara,2018,102.0,2698.0,263.47,,83.84105102302338
41,41,41,Kebumen,2018,57.0,1333.0,234.66,"Sempor, Kebumen",83.0
42,42,42,Purworejo,2018,56.0,1287.0,231.01,,82.56242918526026
43,43,43,Wonosobo,2018,765.0,17502.0,228.93,"Wadaslintang, Wonosobo",81.0
44,44,44,Magelang,2018,829.0,25688.0,309.91,"SMPK. Borobudur, Magelang",79.0
45,45,45,Boyolali,2018,17.0,204.0,117.91,"SMPK Adi Sumarmo, Boyolali",79.0
46,46,46,Klaten,2018,29.0,723.0,252.72,,78.83050459215968
47,47,47,Sukoharjo,2018,0.0,0.0,0.0,,79.30245530367586
48,48,48,Wonogiri,2018,95.0,2201.0,231.01,,80.08225244471606
49,49,49,Karanganyar,2018,720.0,28914.0,379.5,"Puslitbang FP. UNS Jumantono, Karanganyar",81.0
50,50,50,Sragen,2018,0.0,0.0,0.0,,82.069106941391
51,51,51,Grobogan,2018,28.0,840.0,301.23,,82.28360614907055
52,52,52,Blora,2018,87.0,2489.0,284.81,,81.8133936383189
53,53,53,Rembang,2018,72.0,1926.0,266.01,,80.65846940913609
54,54,54,Pati,2018,230.0,5140.0,223.47,"SMPK. Rondole, Pati",79.0
55,55,55,Kudus,2018,60.0,1798.0,298.21,,77.44368717836483
56,56,56,Jepara,2018,15.0,382.0,248.05,,77.68223194255197
57,57,57,Demak,2018,91.0,2686.0,295.21,,79.53446775408356
58,58,58,Semarang,2018,946.0,24982.0,264.14,"SMPK. Balit Getas, Semarang",82.0
59,59,59,Semarang,2018,946.0,24982.0,264.14,"Klimatologi, Semarang",77.0
60,60,60,Semarang,2018,946.0,24982.0,264.14,"SI. Ungaran, Semarang",69.0
61,61,61,Temanggung,2018,156.0,3819.0,244.66,,76.83976773572059
62,62,62,Kendal,2018,264.0,5988.0,226.81,,80.98783004190666
63,63,63,Batang,2018,202.0,6201.0,306.52,"Gamer/Subah, Batang",82.0
64,64,64,Pekalongan,2018,75.0,1664.0,220.69,,79.25247788720822
65,65,65,Pemalang,2018,21.0,283.0,135.3,,77.87493626605239
