,Unnamed: 0.1,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
0,0,0,Cilacap,2013,1322.0,1255.750749699333,9.498871026469992,"Meteorologi, Cilacap",82.0
1,1,1,Banyumas,2013,1671.0,2172.471502658071,13.00102634744507,,83.92978088666091
2,2,2,Purbalingga,2013,731.0,780.8881845490296,10.68246490491149,,84.90637451554788
3,3,3,Banjarnegara,2013,2278.0,1970.754693925778,8.651249753844505,,84.92978088666091
4,4,4,Kebumen,2013,2202.0,1938.738197195212,8.804442312421493,"Sempor, Kebumen",84.0
5,5,5,Purworejo,2013,1012.0,1779.205166704972,17.58107872238114,,82.11703185556516
6,6,6,Wonosobo,2013,326.0,277.5380169084751,8.513436101486967,"Wadaslintang, Wonosobo",81.0
7,7,7,Magelang,2013,682.0,1101.924774223633,16.15725475401221,"SMPK. Borobudur, Magelang",82.0
8,8,8,Boyolali,2013,3182.0,4639.818632729367,14.5814539054977,,82.90886397587629
9,9,9,Klaten,2013,1904.0,1890.887458325091,9.93113160885027,,83.35856394768071
10,10,10,Sukoharjo,2013,7251.0,7980.061498760797,11.00546338265177,,83.34909991541332
11,11,11,Wonogiri,2013,28883.0,41493.15988766816,14.36594532689408,,82.88047187907407
12,12,12,Karanganyar,2013,4233.0,6336.469051718767,14.96921580845445,,81.95267983866296
13,13,13,Sragen,2013,8164.0,17779.50393058164,21.77793230105541,,80.90867341115882
14,14,14,Grobogan,2013,878.0,1243.005265510967,14.15723537028436,,80.09140221354045
15,15,15,Blora,2013,2394.0,2352.876273247034,9.828221692761211,,79.50086624580786
16,16,16,Rembang,2013,4007.0,4330.628369366514,10.80765752275147,,79.13706550796103
17,17,17,Pati,2013,2696.0,3431.727309022115,12.72895886135799,"SMPK. Rendole, Pati",79.0
18,18,18,Kudus,2013,735.0,893.2473704339714,12.15302544808124,"SMPK. Colo, Kudus",79.0
19,19,19,Jepara,2013,9545.0,15907.08200991291,16.66535569398943,,78.59904717641277
20,20,20,Demak,2013,253.0,312.5617974625233,12.354221243578,,77.89355248590218
21,21,21,Semarang,2013,2523.0,2225.971576739395,8.822717307726498,"Klimatologi, Semarang",78.0
22,22,22,Semarang,2013,2523.0,2225.971576739395,8.822717307726498,"SI Ungaran, Semarang",79.0
23,23,23,Temanggung,2013,440.0,459.8202874544832,10.45046107851098,,80.26673010213372
24,24,24,Kendal,2013,1518.0,1795.990887691565,11.83129702036604,,81.55272330678214
25,25,25,Batang,2013,483.0,624.3469342914091,12.92643756296913,"Gamer, Batang",82.0
26,26,26,Pekalongan,2013,326.0,277.6256836422185,8.516125265098728,,81.46556357946304
27,27,27,Pemalang,2013,1598.0,1168.600695582043,7.312895466721168,,80.1214638899352
28,28,28,Tegal,2013,281.0,340.9228125047305,12.13248443077333,"Meteorologi, Tegal",79.0
29,29,29,Brebes,2013,586.0,840.011258157568,14.33466310849092,,78.27322175442136
30,30,30,Kota Magelang,2013,0.0,0.0,0.0,,77.94112915319928
31,31,31,Kota Surakarta,2013,9.0,6.334032090308638,7.037813433676265,,78.00372219633377
32,32,32,Kota Salatiga,2013,0.0,0.0,0.0,,78.46100088382482
33,33,33,Kota Semarang,2013,341.0,422.0756912418937,12.37758625342797,,79.17315446083775
34,34,34,Kota Pekalongan,2013,0.0,0.0,0.0,,80.00037217253795
35,35,35,Kota Tegal,2013,0.0,0.0,0.0,,80.94265401892537
36,36,36,Cilacap,2014,1080.0,923.011,8.546398148148148,"Meteorologi, Cilacap",82.0
37,37,37,Banyumas,2014,1789.0,2728.694,15.25262157629961,,83.17241011576186
38,38,38,Purbalingga,2014,649.0,1052.788,16.22169491525424,,84.45988436621099
39,39,39,Banjarnegara,2014,2463.0,1952.124,7.925797807551767,,85.26741643355459
40,40,40,Kebumen,2014,2188.0,2607.532,11.91742230347349,"Sempor, Kebumen",85.0
41,41,41,Purworejo,2014,1271.0,1458.992,11.47908733280881,,83.6576350655472
42,42,42,Wonosobo,2014,247.0,286.399,11.5951012145749,"Wadaslintang, Wonosobo",82.0
43,43,43,Magelang,2014,730.0,986.236,13.51008219178082,"SMPK. Borobudur, Magelang",81.0
44,44,44,Boyolali,2014,4238.0,4842.000017777777,11.42520060825337,,81.93699602657406
45,45,45,Klaten,2014,1906.0,2442.641,12.8155351521511,,85.02421490655999
46,46,46,Sukoharjo,2014,6429.0,11455.728,17.81883341110593,,88.34932633326594
47,47,47,Wonogiri,2014,31084.0,35234.121,11.33513093552953,"SMPK. Selogiri, Wonogiri",89.97623590676216
48,48,48,Karanganyar,2014,3506.0,4614.291999999999,13.16112949229892,,89.97623590676216
49,49,49,Sragen,2014,6419.0,9777.933,15.23279794360492,,88.27803405355243
50,50,50,Grobogan,2014,550.0,1193.223,21.69496363636364,,84.9053944403708
51,51,51,Blora,2014,2184.0,3227.332,14.77716117216117,,81.33155606266234
52,52,52,Rembang,2014,3263.0,3233.98,9.911063438553478,,79.02975791587207
53,53,53,Pati,2014,2905.0,4583.661,15.77852323580034,"SMPK. Rendole, Pati",78.0
54,54,54,Kudus,2014,1155.0,1274.09,11.03108225108225,"SMPK. Colo, Kudus",78.0
55,55,55,Jepara,2014,11550.0,18000.534,15.58487792207792,,77.57606402559536
56,56,56,Demak,2014,281.0,407.836,14.51373665480427,,76.6270722941362
57,57,57,Semarang,2014,2300.0,3126.228,13.59229565217391,"Klimatologi, Semarang",76.0
58,58,58,Semarang,2014,2300.0,3126.228,13.59229565217391,"SI Ungaran, Semarang",76.0
59,59,59,Temanggung,2014,210.0,281.003,13.38109523809524,,77.61101424063821
60,60,60,Kendal,2014,1114.0,1459.274,13.09940754039497,,80.53502677776716
61,61,61,Batang,2014,433.0,503.1129999999999,11.61923787528868,"Gamer, Batang",82.0
62,62,62,Pekalongan,2014,385.0,474.167,12.31602597402597,,81.54392763877226
63,63,63,Pemalang,2014,456.0,508.206,11.14486842105263,,79.51473789786895
64,64,64,Tegal,2014,191.0,353.194,18.49183246073298,"Meteorologi, Tegal",78.0
65,65,65,Brebes,2014,594.0,826.68,13.91717171717172,,77.34764214895043
66,66,66,Kota Magelang,2014,0.0,0.0,0.0,,77.55766434472022
67,67,67,Kota Surakarta,2014,8.0,9.0,11.25,,78.6300665873094
68,68,68,Kota Salatiga,2014,3.0,4.668,15.56,,80.56484887671795
69,69,69,Kota Semarang,2014,281.0,329.256,11.71729537366548,,82.49152505653673
70,70,70,Kota Pekalongan,2014,0.0,0.0,0.0,,83.53960897035668
71,71,71,Kota Tegal,2014,0.0,0.0,0.0,,83.70910061817779
72,72,72,Cilacap,2015,1327.0,1420.68,10.70595327807084,"Meteorologi, Cilacap",83.0
73,73,73,Banyumas,2015,1466.0,2352.036,16.04390177353342,,81.41230711582335
74,74,74,Purbalingga,2015,474.0,805.891,17.00191983122363,,78.94602196564784
75,75,75,Banjarnegara,2015,585.0,792.796,13.55206837606838,,77.0067258326484
76,76,76,Kebumen,2015,2033.0,2426.368,11.93491392031481,"Sempor, Kebumen",77.0
77,77,77,Purworejo,2015,1682.0,1885.356,11.20901307966706,,78.9258444677026
78,78,78,Wonosobo,2015,188.0,310.344,16.50765957446809,"Wadaslintang, Wonosobo",80.0
79,79,79,Magelang,2015,453.0,814.6300000000001,17.98300220750552,"SMPK. Borobudur, Magelang",78.0
80,80,80,Boyolali,2015,2477.0,3131.9,12.64392410173597,,76.29660030088655
81,81,81,Klaten,2015,1851.0,3305.0,17.85521339816315,,75.45159354152365
82,82,82,Sukoharjo,2015,4161.0,8177.24,19.65210285988945,,75.46497972191133
83,83,83,Wonogiri,2015,33603.0,39004.43,11.60742493229771,,76.33675884204956
